reaction_id,reaction_index_CUSTOM,reaction_type,inputs_metal_and_ligand_SMILES,inputs_aryl_halide_SMILES,inputs_amine_SMILES,inputs_solvent_SMILES,inputs_base_SMILES,temperature_Celsius,yield_percent
ord-575af89735ce4470a257d2008aaf7500,,Nano C-N,,c1ccc(cc1)COC(=O)N2CCC[C@@H]2C(=O)c3c[nH]c4c3cc(cc4)Br;CS(C)=O,,,,55.0,0.0
ord-9798ea17e009409984dd794c7614000e,,Nano C-N,,CCOC(=O)N1CCC(=C2c3ccc(cc3CCc4c2ncc(c4)Br)Cl)CC1;CS(C)=O,,,,55.0,0.0
ord-4f0200dcbfa4459cad6de7f708ee2fcd,,Nano C-N,,CCOC(=O)N1CCC(=C2c3ccc(cc3CCc4c2ncc(c4)Br)Cl)CC1;CS(C)=O,,,,55.0,0.0
ord-e846b71db61e49b2bf454b2ed61765ba,,Nano C-N,,c1cc(ccc1Cn2c3c(cc(cc3Br)F)c4c2[C@H](CC4)CC(=O)O)Cl;CS(C)=O,,,,55.0,0.0
ord-a22cb875d1aa4fe28910198fae52e996,,Nano C-N,,c1cc(ccc1Cn2c3c(cc(cc3Br)F)c4c2[C@H](CC4)CC(=O)O)Cl;CS(C)=O,,,,55.0,0.0
ord-86f5c23c182646af953f39393510ba10,,Nano C-N,,COC(=O)[C@@H]1C[C@H](CN1C(=O)OCc2ccccc2)OC(=O)N3Cc4cccc(c4C3)Br;CS(C)=O,,,,55.0,52.02
ord-26205f3ced6640118b73ce6261e6b51d,,Nano C-N,,COC(=O)[C@@H]1C[C@H](CN1C(=O)OCc2ccccc2)OC(=O)N3Cc4cccc(c4C3)Br;CS(C)=O,,,,55.0,39.61
ord-86ec0a7655f349229828eef66c0cd167,,Nano C-N,,COC(=O)[C@@H]1C[C@H](CN1C(=O)OCc2ccccc2)OC(=O)N3Cc4cccc(c4C3)Br;CS(C)=O,,,,55.0,42.51
ord-f0e13036e85a4e8b9829301a9252c6e9,,Nano C-N,,COC(=O)[C@@H]1C[C@H](CN1C(=O)OCc2ccccc2)OC(=O)N3Cc4cccc(c4C3)Br;CS(C)=O,,,,55.0,0.0
ord-4b284c5210fe494f88aef29be8e1bea0,,Nano C-N,,COC(=O)[C@@H]1C[C@H](CN1C(=O)OCc2ccccc2)OC(=O)N3Cc4cccc(c4C3)Br;CS(C)=O,,,,55.0,0.0
